"label","text"
"0","我不是种族主义者，可是我讨厌黑人"
"0","哥们，这个智商，感觉你这辈子走过最多的路可能是你女朋友的套路。"
"1","我们当中某些人也自命不凡，三黄血统信手拈来，称东南亚人为猴子"
"1","我们自己还歧视黑人 歧视印度 呢 印度火车那么多人不都是国内报道的、这就是刻板印象、别说歧视外国人了 河南人不被骂还是东快傻不被骂？"
"0","南方医科大学的黑人印度人 都很老实。"
"1","侮辱女性，举报了"
"0","四川话 ～哈哈哈"
"0","可能因为同是黄种人所以代入感更强吧"
"1","陕西特穷，特落后，黄土高原全是土，陕西人都不知道大片绿色看起来什么样的。"
"1","我同情他们，但是我确实不爽那些非法来到中国的黑人，不爽那些超国民待遇的黑人留学生，不爽那些一黑黑8代的基因，不爽那些犯罪率强奸率很高的种族，他们生活不易，我同情，但是我不欢迎中文学不好的老外来中国享受超国民待遇，一码归一码，一楼思想太偏激了。"
"0","科密们为增加科黑人数贡献巨大！我来为你们增加贡献值！哈哈哈"
"0","都这么高？就上海才五千，这北上深上海落后的有点多。。"
"1","上海这么没素质也太可怕了，我还以为大城市大家多多少少都会在意点形象，看来没素质的人在什么城市都会没素质，国外可能是思想比较开放的原因吧，也没必要这样对比自己的国家"
"1","问题已重定向至 如何看待74岁中国老人在美国高犯罪社区的家门外被15岁黑人枪杀？（2017年）？ [图片] [图片]"
"0","中国男性对自己很有要求，中国女性对自己就没有要求了？爬到政界高位不是靠自己的高自尊和努力？你这是什么歧视女性的思维方式，不要小人之心度君子之腹"
"0","所以这个妹子有没有bug？男朋友解决了吗？"
"1","那个吧仇视黑人，仇视少民，一边喷女权婊一边看到国内女的嫁给老外又骂女的“公交车”跟二战吧比也就是粪坑稍微小点而已"
"0","你怕是没来过重庆。"
"1","现在只有对老穷光棍男和老丑光棍女的歧视～。"
"0","品位真好, 所以你喜欢古典的小弗\r我喜欢但接触很少, 我是节奏蓝调, 灵魂, 嘻哈; 我很黑人�"
"0","非常实用，我以前非常不屑粉色，现在特别萌一些少女的东西。但是能令我产生一点点愉悦的东西都很珍惜！"
"0","其实我觉得口音真的反应不了什么吧……至少我是真的觉得和台湾人讲话，我的口音特别容易也有台湾腔，我也不知道为什么………"
"1","不，上海人也歧视本地人的，这种现象还是蛮多的。"
"1","你错了 上海人和苏南地区普遍都有看不起外地人的现象 是所有外地人 不仅仅安徽"
"0","同是山东人只吃过蝉的幼虫（各地有各地的叫法，我们这儿叫蚰子，不知道你们那儿叫什么，瞎撞知道，你说的那个太恶心，直接没发吃"
"1","其实米国社会结构相对扁平，精英们也未必比黑墨绿收获更多的尊重，哪怕一个人的道路再离经叛道，至少可以获得表面上的尊重。可是中国精英们还觉得人家好吃懒做“你穷你活该”“你弱你有理”。"
"0","维秘有个黑人模特就是得了白癜风的，视觉冲击力很强"
"1","歧视白人呢，黑人技术如何？"
"1","是歧视亚裔，亚裔分数线普遍最高"
"0","吴尊像个无事人的嘴脸和最后附和的语气真尼玛恶心，是不是个男人"
"0","easygirl不是说女生找外国男人而是说外国男人说一句我爱你有些女人就上床了这种随便的女生当然该骂啦"
"0","小时候看这个，当时真的感觉是女神级别的。还有白娘子赵雅芝。。"
"0","再一提，我虽然是男的，还是觉得很多国人对巴基斯坦人和印度人的优越感太强了，我在国内卖印巴菜的地方、香港、广州见过很多巴基斯坦人和印度人，虽然皮肤黑了点，长相真的都不丑"
"0","这告诉男人们不能出轨出轨家破人亡"
"1","木乃伊3对吗？把我恶心死了，又是美国佬带着中国女人打败邪恶的中国男人，wdnmd，还把我们的千古一帝秦始皇描绘成西方的邪恶破龙，wrnm[白眼]"
"0","张学良还是有一定功绩的:东北易帜。 当然九一八实在恶心。 蒋介石签了何梅协定这样的卖国协定，但一个抗战打赢就可以掩盖这些丑闻。 张学良要是跟着老蒋挺到抗战结束，战后重返东北，估计也能得到稍好的评价。"
"1","为什么？我跟你说为什么！因为黑人的犯罪率高，这是对他们的刻板印象别的不说，想想0元购但一码归一码一个说他们的法律，确实是这样二个就是这个人应该是无辜的但是就这样就罔顾事实，上纲上线两个警察？不不不！这样好吗？这样不好！"
"0","哈哈哈有一集他们遇到一个亚裔女医生，是哪儿的我现在也没记住"
"0","书记深得“威尔士黑人女同性恋工会会员”的精髓。"
"1","别看地摊文学YY了，平常接触过几个巴基斯坦人?我保证你接触多了巴基斯坦人会觉得恶心，比黑人都不如，根本不是网上传说的那样友好"
"1","潮汕男子严重大男人主义,嫁人尽量别嫁潮汕人."
"0","在你眼里女人全部价值就是一张脸？？那我也实名说一句真是最讨厌你这种女人了，把女人物化等同于一张脸。话说你说这话之前都不会照个镜子的？？？"
"0","这个拿人，你们可能不知道啊， 在东北话里，拿人有油腻，恶心的意思"
"1","黑人的脏辫，离进了闻着真恶心"
"0","我也不是总黑人啦。以及，头像很好看。"
"1","男女泉都恶心，女权先挑事，南拳反击，然后新闻报道个啥都要那女拳说事，女性被xsr了，"
"0","我没有给强奸犯辩护，但是，我忧虑的是 性侵 的泛化，在女权的绝对话语权和无限性开放的今天，这种事情如果继续发展，肯定会成为女权进一步欺压男性的工具。"
